Id:ID,name,quantity,unit,calorie,fats,carbs,protein,imageUrl:String
401,LukeWarm Water,2,Glass,0,0,0,0,https://2.bp.blogspot.com/-a7366QNzidY/VyYahB3qEJI/AAAAAAAAAG0/pJqMZWSac6sayE62A9pecaB4INnWVwKFACKgB/s400/warm%2Bwater.jpg
402,black coffee,1,Cup,2.1,0.1,0,0.3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRvDQqU2OzIW01RKHO3Kbt42FulK8dhVjSWAQ&usqp=CAU
403,Lemon Water,1,Glass,0.5,0,0.2,0,https://www.fashionlady.in/wp-content/uploads/2017/09/health-benefits-of-honey-lemon-water.jpg
404,Idli Sambhar,1,Plate,304,2,61,12,https://vaya.in/recipes/wp-content/uploads/2018/02/Idli-and-Sambar-1.jpg
405,Multi-grain Bread,4,Slices,61,1.1,11,3.5,https://www.jessicagavin.com/wp-content/uploads/2020/04/whole-wheat-bread-21.jpg
406,Fresh fruits,3,Servings,97,0.5,24,1.4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQxlGLkbfwCKiCdkaAJ8GlHq9XEJzzImWrXd1j6FY5J3km8QSGLtO6jADgZp6UTm3NZ-GQ&usqp=CAU
407,dry fruits,4,Piece,220,0.5,58,2.2,https://c4.wallpaperflare.com/wallpaper/423/298/446/dried-fruit-kiwi-apricots-figs-wallpaper-preview.jpg
408,green tea,1,Cup,2.5,0,0,0.5,https://wallpaperaccess.com/full/2318048.jpg
409,Salad,2,Servings,6.7,0.1,1.4,0.4,https://freedesignfile.com/upload/2017/01/vegetable-salad-HD-picture.jpg
410,Multigrain Chapati,2,Medium,120,3.7,18,3.1,https://cdn.cdnparenting.com/articles/2020/02/27164118/Multigrain-Roti-Recipe.jpg
411,Mix Daal,1,Bowl,222,4.2,34,14,https://s1.dmcdn.net/v/FKRDs1Vn_-Pb4DlH8/x1080
412,mix-veg curry,1,Bowl,150,5.4,23,4.7,https://thumbs.dreamstime.com/b/indian-mix-veg-mixed-vegetable-recipe-served-bowl-chapati-greavy-restaurant-style-192339585.jpg
413,brown rice,1,Bowl,218,1.6,46,4.6,https://media.istockphoto.com/photos/brown-rice-picture-id173589620?k=6&m=173589620&s=612x612&w=0&h=Ka9cEEXNLmVakJ8o2Kd93kXz5TeIIEZzZuNBd8BjfUg=
414,Chickpea curry,1,Bowl,243,11,7.5,28,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/kadala-curry-fad4df3.jpg?quality=90&webp=true&resize=440,400"
415,Mix-Veg Soup,1,Bowl,159,3.8,26,5.8,https://media.istockphoto.com/photos/vegetable-soup-picture-id1092632852?k=6&m=1092632852&s=612x612&w=0&h=2zUWFSHXsiFbQZZ8R6emv5oQH8sz7dljf8KP7Xuu0vs=
416,Palak Paneer Pulao,1,Servings,366,30,10,15,https://vegehomecooking.com/wp-content/uploads/2019/07/Palak-Paneer-Pulao4.jpg
417,chicken curry,1,Servings,307.2,2.9,47.5,23.8,https://www.eazypeazymealz.com/wp-content/uploads/2017/08/Mixed-Vegetable-Chicken-Curry_2.jpg
418,Mix-Veg Khichdi ,1,Servings,360,1.6,25,10,https://cdn.cdnparenting.com/articles/2019/02/19114344/Mashed-Mix-Vegetable-Khichdi-Recipe-1136761802-1024x700.jpg
419,Turmeric milk,1,Servings,241.7,0.1,10,0.9,https://media.istockphoto.com/photos/golden-turmeric-milk-picture-id1254503729?k=6&m=1254503729&s=612x612&w=0&h=onZFmhlMEoeAttVoTmXpLNxkCOjdKANoOwptPjlh59o=
420,LukeWarm Water,2,Glass,0,0,0,0,https://2.bp.blogspot.com/-a7366QNzidY/VyYahB3qEJI/AAAAAAAAAG0/pJqMZWSac6sayE62A9pecaB4INnWVwKFACKgB/s400/warm%2Bwater.jpg
421,Lemon-Honey Water,1,Glass,131,0,36,0.2,https://www.fashionlady.in/wp-content/uploads/2017/09/health-benefits-of-honey-lemon-water.jpg
422,Juice,1,Glass,16,0,3.9,0,https://wallpapercave.com/wp/wp1907099.jpg
